kind,capacity,config,levels,datasets,mean_hits,mean_hit_rate_percent,variance_hit_rate_percentage_points_squared,stddev_hit_rate_percentage_points,min_hit_rate_percent,max_hit_rate_percent
normal,25,LIRS_25,1,40,2563.250,12.816250,0.071625,0.267629,12.110000,13.265000
normal,25,LRU_25,1,40,2321.025,11.605125,0.052625,0.229401,11.060000,12.000000
normal,50,2Q_50,1,40,5254.525,26.272625,0.141804,0.376568,25.480000,27.055000
normal,50,ARC_50,1,40,4835.700,24.178500,0.138072,0.371580,23.420000,24.950000
normal,50,BELADY_50,1,40,11326.225,56.631125,0.059844,0.244631,56.135000,57.170000
normal,50,LFU_50,1,40,5360.775,26.803875,1.054620,1.026947,24.120000,29.210000
normal,50,LIRS_50,1,40,5054.425,25.272125,0.133737,0.365701,24.595000,26.115000
normal,50,LRU_50,1,40,4601.425,23.007125,0.087322,0.295502,22.350000,23.715000
normal,75,2Q_75,1,40,7651.100,38.255500,0.152492,0.390502,37.570000,39.075000
normal,75,ARC_75,1,40,7177.375,35.886875,0.216606,0.465410,34.645000,37.235000
normal,75,BELADY_75,1,40,13511.100,67.555500,0.052198,0.228470,67.125000,68.085000
normal,75,LFU_75,1,40,7881.000,39.405000,0.809326,0.899625,37.905000,41.600000
normal,75,LIRS_75,1,40,7441.375,37.206875,0.188029,0.433623,36.475000,38.015000
normal,75,LRU_75,1,40,6827.475,34.137375,0.150447,0.387876,33.330000,34.960000
normal,100,2Q_100,1,40,9801.400,49.007000,0.160950,0.401185,48.020000,49.765000
normal,100,ARC_100,1,40,9398.500,46.992500,0.187032,0.432472,46.185000,48.100000
normal,100,BELADY_100,1,40,15145.300,75.726500,0.038021,0.194989,75.345000,76.155000
normal,100,LFU_100,1,40,10273.475,51.367375,0.777769,0.881912,49.570000,52.905000
normal,100,LIRS_100,1,40,9713.000,48.565000,0.198687,0.445743,47.675000,49.515000
normal,100,LRU20_2Q80,2,40,8152.650,40.763250,0.146910,0.383288,39.920000,41.560000
normal,100,LRU20_ARC80,2,40,7696.300,38.481500,0.277546,0.526827,37.445000,39.635000
normal,100,LRU20_LFU80,2,40,8504.325,42.521625,0.882527,0.939429,40.885000,45.185000
normal,100,LRU20_LIRS80,2,40,7916.150,39.580750,0.164812,0.405971,38.785000,40.335000
normal,100,LRU_100,1,40,8991.575,44.957875,0.171823,0.414515,44.025000,45.970000
normal,125,2Q_125,1,40,11753.650,58.768250,0.193816,0.440245,57.715000,59.555000
normal,125,ARC_125,1,40,11480.675,57.403375,0.209397,0.457599,56.505000,58.130000
normal,125,BELADY_125,1,40,16412.875,82.064375,0.034408,0.185494,81.740000,82.425000
normal,125,LFU_125,1,40,12482.675,62.413375,1.100406,1.049002,60.530000,64.580000
normal,125,LIRS_125,1,40,11855.075,59.275375,0.179965,0.424222,58.490000,60.070000
normal,125,LRU_125,1,40,11056.600,55.283000,0.182105,0.426737,54.360000,56.190000
normal,150,2Q_150,1,40,13469.800,67.349000,0.160026,0.400032,66.560000,68.065000
normal,150,ARC_150,1,40,13513.500,67.567500,0.162282,0.402842,66.805000,68.365000
normal,150,BELADY_150,1,40,17411.075,87.055375,0.021550,0.146801,86.685000,87.350000
normal,150,LFU_150,1,40,14506.700,72.533500,0.972484,0.986146,70.470000,74.600000
normal,150,LIRS_150,1,40,13803.800,69.019000,0.141600,0.376298,68.300000,69.845000
normal,150,LRU_150,1,40,12999.575,64.997875,0.190923,0.436947,64.195000,65.970000
normal,175,2Q_175,1,40,15051.175,75.255875,0.117481,0.342754,74.540000,75.915000
normal,175,ARC_175,1,40,14924.600,74.623000,0.170692,0.413149,73.755000,75.385000
normal,175,BELADY_175,1,40,18188.550,90.942750,0.017300,0.131529,90.595000,91.185000
normal,175,LFU_175,1,40,16192.325,80.961625,0.826381,0.909055,78.785000,82.515000
normal,175,LIRS_175,1,40,15528.425,77.642125,0.129737,0.360190,76.940000,78.380000
normal,175,LRU_175,1,40,14791.100,73.955500,0.171577,0.414218,73.100000,74.725000
normal,200,2Q_200,1,40,16483.275,82.416375,0.115140,0.339322,81.770000,83.215000
