dataset,seed,capacity,requests,algorithm,hits,misses,hit_rate
scan,1,100,20000,ARC,0,20000,0.0
scan,1,100,20000,2Q,0,20000,0.0
scan,1,100,20000,LIRS,0,20000,0.0
scan,1,100,20000,BELADY,0,20000,0.0
scan,2,100,20000,LRU,0,20000,0.0
scan,2,100,20000,LFU,0,20000,0.0
scan,2,100,20000,ARC,0,20000,0.0
scan,2,100,20000,2Q,0,20000,0.0
scan,2,100,20000,LIRS,0,20000,0.0
scan,2,100,20000,BELADY,0,20000,0.0
scan,3,100,20000,LRU,0,20000,0.0
scan,3,100,20000,LFU,0,20000,0.0
scan,3,100,20000,ARC,0,20000,0.0
scan,3,100,20000,2Q,0,20000,0.0
scan,3,100,20000,LIRS,0,20000,0.0
scan,3,100,20000,BELADY,0,20000,0.0
scan,4,100,20000,LRU,0,20000,0.0
scan,4,100,20000,LFU,0,20000,0.0
scan,4,100,20000,ARC,0,20000,0.0
scan,4,100,20000,2Q,0,20000,0.0
scan,4,100,20000,LIRS,0,20000,0.0
scan,4,100,20000,BELADY,0,20000,0.0
scan,5,100,20000,LRU,0,20000,0.0
scan,5,100,20000,LFU,0,20000,0.0
scan,5,100,20000,ARC,0,20000,0.0
scan,5,100,20000,2Q,0,20000,0.0
scan,5,100,20000,LIRS,0,20000,0.0
scan,5,100,20000,BELADY,0,20000,0.0
scan,6,100,20000,LRU,0,20000,0.0
scan,6,100,20000,LFU,0,20000,0.0
scan,6,100,20000,ARC,0,20000,0.0
scan,6,100,20000,2Q,0,20000,0.0
scan,6,100,20000,LIRS,0,20000,0.0
scan,6,100,20000,BELADY,0,20000,0.0
scan,7,100,20000,LRU,0,20000,0.0
scan,7,100,20000,LFU,0,20000,0.0
scan,7,100,20000,ARC,0,20000,0.0
scan,7,100,20000,2Q,0,20000,0.0
scan,7,100,20000,LIRS,0,20000,0.0
scan,7,100,20000,BELADY,0,20000,0.0
scan,8,100,20000,LRU,0,20000,0.0
scan,8,100,20000,LFU,0,20000,0.0
scan,8,100,20000,ARC,0,20000,0.0
scan,8,100,20000,2Q,0,20000,0.0
scan,8,100,20000,LIRS,0,20000,0.0
scan,8,100,20000,BELADY,0,20000,0.0
scan,9,100,20000,LRU,0,20000,0.0
scan,9,100,20000,LFU,0,20000,0.0
scan,9,100,20000,ARC,0,20000,0.0
scan,9,100,20000,2Q,0,20000,0.0
scan,9,100,20000,LIRS,0,20000,0.0
scan,9,100,20000,BELADY,0,20000,0.0
lru,0,100,25952,LRU,20122,5830,0.7753545006165228
lru,0,100,25952,LFU,5904,20048,0.22749691738594327
lru,0,100,25952,ARC,18401,7551,0.7090397657213316
lru,0,100,25952,2Q,5339,20613,0.20572595561035759
lru,0,100,25952,LIRS,15546,10406,0.5990289765721332
lru,0,100,25952,BELADY,20122,5830,0.7753545006165228
lru,1,100,25952,LRU,20116,5836,0.7751233045622689
lru,1,100,25952,LFU,5904,20048,0.22749691738594327
lru,1,100,25952,ARC,18383,7569,0.7083461775585697
lru,1,100,25952,2Q,5326,20626,0.20522503082614058
lru,1,100,25952,LIRS,15530,10422,0.5984124537607891
lru,1,100,25952,BELADY,20116,5836,0.7751233045622689
lru,2,100,25952,LRU,20119,5833,0.7752389025893958
lru,2,100,25952,LFU,5904,20048,0.22749691738594327
lru,2,100,25952,ARC,18391,7561,0.7086544389642416
lru,2,100,25952,2Q,5332,20620,0.20545622688039458
lru,2,100,25952,LIRS,15520,10432,0.5980271270036991
lru,2,100,25952,BELADY,20119,5833,0.7752389025893958
lru,3,100,25952,LRU,20123,5829,0.7753930332922319
lru,3,100,25952,LFU,5904,20048,0.22749691738594327
lru,3,100,25952,ARC,18411,7541,0.7094250924784217
lru,3,100,25952,2Q,5332,20620,0.20545622688039458
lru,3,100,25952,LIRS,15560,10392,0.5995684340320592
lru,3,100,25952,BELADY,20123,5829,0.7753930332922319
lru,4,100,25952,LRU,20132,5820,0.7757398273736128
lru,4,100,25952,LFU,5904,20048,0.22749691738594327
lru,4,100,25952,ARC,18431,7521,0.7101957459926017
lru,4,100,25952,2Q,5341,20611,0.20580302096177558
lru,4,100,25952,LIRS,15562,10390,0.5996454993834772
lru,4,100,25952,BELADY,20132,5820,0.7757398273736128
lru,5,100,25952,LRU,20133,5819,0.7757783600493219
lru,5,100,25952,LFU,5904,20048,0.22749691738594327
lru,5,100,25952,ARC,18440,7512,0.7105425400739828
lru,5,100,25952,2Q,5336,20616,0.20561035758323057
lru,5,100,25952,LIRS,15541,10411,0.5988363131935882
lru,5,100,25952,BELADY,20133,5819,0.7757783600493219
lru,6,100,25952,LRU,20105,5847,0.7746994451294698
lru,6,100,25952,LFU,5904,20048,0.22749691738594327
lru,6,100,25952,ARC,18347,7605,0.7069590012330457
lru,6,100,25952,2Q,5332,20620,0.20545622688039458
lru,6,100,25952,LIRS,15524,10428,0.5981812577065352
lru,6,100,25952,BELADY,20105,5847,0.7746994451294698
lru,7,100,25952,LRU,20119,5833,0.7752389025893958
lru,7,100,25952,LFU,5904,20048,0.22749691738594327
lru,7,100,25952,ARC,18401,7551,0.7090397657213316
